host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,189,97,10,10,10,10,10,moderate,170
0,1,Apartment,Private room,1,1,1,1,Pull-out Sofa,490,99,,,,,,moderate,60
0,1,Apartment,Private room,1,1,1,1,Real Bed,94,94,10,10,10,9,9,strict,41
0,1,House,Private room,2,1.5,1,1,Real Bed,107,94,9,10,10,9,9,strict,29
1,0,Apartment,Private room,2,1,1,1,Real Bed,62,96,9,10,10,9,10,strict,47
0,1,House,Entire home/apt,8,2.5,3,4,Real Bed,22,98,10,10,10,9,10,strict,123
0,1,House,Private room,2,4,1,1,Real Bed,11,96,10,10,10,9,10,strict,65
0,0,House,Private room,1,2,1,0,Real Bed,139,94,9,10,10,10,10,moderate,50
0,1,Apartment,Entire home/apt,12,2,4,5,Real Bed,274,91,9,9,10,9,9,strict,450
0,1,Apartment,Private room,2,1,1,1,Real Bed,110,91,8,9,10,9,9,strict,100
0,0,Apartment,Private room,2,1,1,1,Real Bed,17,80,8,8,8,9,8,strict,51
1,1,House,Entire home/apt,6,1.5,3,3,Real Bed,36,94,8,10,10,9,9,strict,110
0,0,Apartment,Private room,1,1,1,1,Real Bed,20,85,8,10,10,10,8,moderate,40
0,0,Apartment,Entire home/apt,8,2.5,2,3,Real Bed,127,90,10,9,9,10,9,strict,189
0,0,Apartment,Entire home/apt,4,1,1,1,Real Bed,62,88,9,9,9,10,9,strict,229
0,0,Apartment,Entire home/apt,6,1,2,3,Real Bed,107,85,9,9,9,9,8,strict,159
0,0,Apartment,Entire home/apt,6,1,2,3,Real Bed,149,87,9,9,9,9,8,strict,129
0,1,Apartment,Private room,1,1,1,1,Real Bed,223,97,10,10,10,10,9,strict,58
1,1,House,Entire home/apt,6,2,3,3,Real Bed,23,97,10,10,10,9,9,strict,91
1,1,House,Private room,1,1,1,1,Real Bed,333,95,10,10,10,10,10,moderate,30
0,0,Apartment,Private room,2,1,1,1,Real Bed,70,94,9,10,10,9,9,strict,25
0,1,House,Private room,2,1,1,1,Real Bed,46,99,10,10,10,9,10,strict,30
0,0,Apartment,Private room,2,1,1,0,Real Bed,11,96,10,10,10,9,10,moderate,29
0,1,Apartment,Private room,3,1,1,2,Real Bed,242,89,9,9,10,10,9,strict,70
0,1,Apartment,Private room,2,1,1,1,Real Bed,157,94,10,10,9,10,9,strict,91
0,0,House,Private room,1,2,1,1,Real Bed,156,88,9,9,9,10,9,strict,35
0,1,House,Entire home/apt,5,1,2,3,Real Bed,28,88,8,9,10,8,9,strict,80
